date,rating,title_review,title_review_tokenized
2020-05-15 07:01:02,5,fund transfer now i have problem doing fund transfer the list of bank is not loading and so i can not proceed with my fund transfer to my other account hopefully this problem will be solve using iphone 6,"['fund', 'transfer', 'problem', 'fund', 'transfer', 'list', 'bank', 'loading', 'proceed', 'fund', 'transfer', 'account', 'hopefully', 'problem', 'solve', 'use', 'iphone']"
2020-05-16 01:53:14,5,"failed transfer amount to gcash not refunded i tried to transfer amount 3 times to my gcash account which all failed to the reason i do not know why and only refunded twice  now my money is gone until now i can not even contact customer support through telephone due to lots of calls from customers  messenger support not even responding I am so dismayed 

ronnie f alvarez","['fail', 'transfer', 'amount', 'refund', 'try', 'transfer', 'amount', 'time', 'account', 'fail', 'reason', 'know', 'refund', 'twice', 'money', 'go', 'even', 'contact', 'customer', 'support', 'telephone', 'due', 'lot', 'call', 'customer', 'messenger', 'support', 'even', 'respond', 'I', 'dismayed', 'ronnie', 'f', 'alvarez']"
2020-05-16 07:31:43,5,billers not available try ako browse sa pay bill para sana doon na ako magbayad ng bills ko sa meralco pldt at bpi pero ng buksan ko ang menu ng pay wala mga billers ang meron lang smart maynilad at prine water buti hindi pa ako nakapgdeposit kung nagkataon d ko na makuha ang cash money ko lalo na nka ecq pa kami,"['billers', 'available', 'try', 'browse', 'pay', 'bill', 'sana', 'magbayad', 'bill', 'meralco', 'pldt', 'bpi', 'buksan', 'menu', 'pay', 'wala', 'billers', 'meron', 'smart', 'maynilad', 'prine', 'water', 'buti', 'nakapgdeposit', 'nagkataon', 'makuha', 'cash', 'money', 'lalo', 'nka', 'ecq']"
2020-05-17 02:51:27,5,inconvenience at its finest hi your service is unreliable and your customer service support is hopeless this is becoming a nightmare as soon as my credits on the app is used up i will not be putting credits again if it was not for smart applying mvp rebates i will not have this app ,"['inconvenience', 'fine', 'hi', 'service', 'unreliable', 'customer', 'service', 'support', 'hopeless', 'become', 'nightmare', 'soon', 'credit', 'use', 'put', 'credit', 'smart', 'apply', 'mvp', 'rebate']"
2020-05-18 18:06:31,4,cool try this cool online apps,"['cool', 'try', 'cool', 'online', 'apps']"
2020-05-19 09:55:35,5,bad service wag nyo ipagkatiwala ang pera nyo dto dahil hindi ito katiwatiwala april 18 2020 ako nag bank transfer pero hanggang ngayon hindi pa din malaman kung nasaan na ang pera ko ilang beses ako tumawag sa hotline nila pero paulit ulit lang ang sinasabi nila ngaung araw nangako sila na tatawag sa akin ang supervisor pero walang tumawag sa akin kaya ako na ang tumawag sa kanila c ms jen na ang id  ay 1214828 nangako na tatawag sa akin ang supervisor ngaun tumawag ako ginawa akong tanga ng agent na nakausap ko pinag antay ako na itatransfer nya ang tawag ko sa supervisor pero isang oras na ako mahigit nag aantay wala ng sumagot sa akin  hindi na kau naawa alam nyo na kelangan ng tao ang perang pinagkatiwala sa inyo lalo na sa sitwasyong dinadanas ngaun,"['bad', 'service', 'wag', 'ipagkatiwala', 'pera', 'dto', 'katiwatiwala', 'april', 'bank', 'transfer', 'malaman', 'pera', 'ilang', 'be', 'tumawag', 'hotline', 'paulit', 'ulit', 'sinasabi', 'ngaung', 'araw', 'nangako', 'tatawag', 'supervisor', 'tumawag', 'tumawag', 'c', 'm', 'jen', 'id', 'nangako', 'tatawag', 'supervisor', 'ngaun', 'tumawag', 'akong', 'tanga', 'agent', 'nakausap', 'pinag', 'antay', 'itatransfer', 'nya', 'tawag', 'supervisor', 'oras', 'mahigit', 'aantay', 'wala', 'sumagot', 'kau', 'naawa', 'alam', 'kelangan', 'tao', 'perang', 'pinagkatiwala', 'inyo', 'lalo', 'sitwasyong', 'dinadanas', 'ngaun']"
2020-05-20 16:53:24,5,great app but just started using app for my online shopping and its great specially bow i can purchase from the app store too  just a suggestion can you extend the validity of the generated barcode 30 mins is too short  the distance from my house to the nearest 7 11 store is about 45 mins drive  and sometimes they would be offline so there would be no chance for me to use the generated code anymore can you just  make the validity of barcode for 24 hrs pls,"['great', 'start', 'use', 'online', 'shopping', 'great', 'specially', 'bow', 'purchase', 'store', 'suggestion', 'extend', 'validity', 'generated', 'barcode', 'min', 'short', 'distance', 'house', 'near', 'store', 'min', 'drive', 'sometimes', 'would', 'offline', 'would', 'chance', 'use', 'generated', 'code', 'anymore', 'make', 'validity', 'barcode', 'hr', 'pls']"
2020-05-23 05:39:05,5,"frustrating password recovery help forgot my password but no help or assistance received got an email after several attempts and it says there will be delays in response to my messages due to strict government measures lockdown
creating another account using my other recovery email is still frustrating since the mobile app always state that my email address and phone number are invalid and i wonder why since i received an email from paymaya to my other recovery email address confirming the subscriptions for paymaya newsletter i use their customer support chat and very frustrating to chat with automated response what if i happen to create an account and have large amount of transactions and forgot my password again","['frustrate', 'password', 'recovery', 'help', 'forget', 'password', 'help', 'assistance', 'receive', 'get', 'email', 'several', 'attempt', 'say', 'delay', 'response', 'message', 'due', 'strict', 'government', 'measure', 'lockdown', 'create', 'another', 'account', 'use', 'recovery', 'email', 'still', 'frustrating', 'since', 'mobile', 'always', 'state', 'email', 'address', 'phone', 'number', 'invalid', 'wonder', 'since', 'receive', 'email', 'recovery', 'email', 'address', 'confirm', 'subscription', 'newsletter', 'use', 'customer', 'support', 'chat', 'frustrating', 'chat', 'automated', 'response', 'happen', 'create', 'account', 'large', 'amount', 'transaction', 'forget', 'password']"
2020-05-23 11:30:42,5,so convenient  no need to fall in longline at payment center easy to scan at paymaya supported merchant convenient for loading prepaid so easy to use,"['convenient', 'need', 'fall', 'longline', 'payment', 'center', 'easy', 'scan', 'support', 'merchant', 'convenient', 'load', 'prepay', 'easy', 'use']"
2020-05-23 13:09:00,5,load problem everytime it took a minute of sending a regular load there will a pop up message says it took so longetc and you try again but when you retry to load again and error again then after a while the transaction will still carried out ending it will become a double sent of load to one number that is the only problem i always encounter please help us to have a correction in that bug thank you,"['load', 'problem', 'everytime', 'take', 'minute', 'send', 'regular', 'load', 'pop', 'message', 'say', 'take', 'longetc', 'try', 'retry', 'load', 'error', 'transaction', 'still', 'carry', 'end', 'become', 'double', 'sent', 'load', 'one', 'number', 'problem', 'always', 'encounter', 'help', 'u', 'correction', 'bug']"
